,skill_id,skill_title,skill_type,skill_description,skill_description_combined
68,9be33893fce09dc069b513b2e500f348906956be227f3c8cea925061cd342877,maintenance and repair,tsc,manage and oversee shipboard maintenance and repairs,maintenance and repair-manage and oversee shipboard maintenance and repairs
69,9d0d00441901dbc13733bb34e51d03c6699c3626e8b44bebf1ff068441cfd754,emergency shut-down and restart,tsc,manage shut-down and restart of production processes to minimise loss and damage of assets as well as ensure the safety of personnel during emergency situations,emergency shut-down and restart-manage shut-down and restart of production processes to minimise loss and damage of assets as well as ensure the safety of personnel during emergency situations
70,847e967dde4a129c89376b3a3da202bf5329c8a55f81057f577557283ac016ee,strategy execution,tsc,develop and implement plans to achieve organisational and departmental strategies and goals,strategy execution-develop and implement plans to achieve organisational and departmental strategies and goals
71,15c2533e386521cd9425874c43ef77b043bac0b6d60bb0124bcf299985671897,workshop practices application,tsc,"operate general workshop tools, equipment and materials in compliance with workplace safety and health requirements at the operational level and validate the work done in accordance with applicable technical manuals and organisational procedures.","workshop practices application-operate general workshop tools, equipment and materials in compliance with workplace safety and health requirements at the operational level and validate the work done in accordance with applicable technical manuals and organisational procedures."
72,141453953b786d0db653a2d554441872edf57c73e4b78dfcafb563a0cdaa0e1f,career coaching,tsc,provide career coaching programmes to develop talent,career coaching-provide career coaching programmes to develop talent
73,6e145e68c6d9d218e9a27148fc519c8a0f548cdd6b3ffbe75d864df6561395c1,work in biosafety level-3 laboratories,tsc,"on completion of this unit, learners will acquire the knowledge and skills for working in biosafety level-3 laboratories as well as an awareness of the principles and practices associated with biosafety level-4 laboratories","work in biosafety level-3 laboratories-on completion of this unit, learners will acquire the knowledge and skills for working in biosafety level-3 laboratories as well as an awareness of the principles and practices associated with biosafety level-4 laboratories"
74,287dea2532df555e171a77739552b35258136568f933af1ce43cf710965f1240,colour grading,tsc,adjust the colour of visual content for necessary corrections and to reflect the creative vision of production,colour grading-adjust the colour of visual content for necessary corrections and to reflect the creative vision of production
75,09a6a0afc7bdfef4bbf19e02927812d95e187d8cfb5348121dffe751fbabd491,content ingest operations,tsc,"execute technical processes to receive, record, transform and store content as per the organisation's standards, for the purpose of broadcast or distribution","content ingest operations-execute technical processes to receive, record, transform and store content as per the organisation's standards, for the purpose of broadcast or distribution"
76,acc46e76e8fa738af196ea7978be248010775f94c27b12f5c53e54611a8eb929,audit management,tsc,"review organisational objectives, policies, procedures, structure, controls and systems to verify that the organisation's activities are efficiently managed","audit management-review organisational objectives, policies, procedures, structure, controls and systems to verify that the organisation's activities are efficiently managed"
77,d9dd5cbe5b0de2500b4d90fac42a8072d2dbc2232cb8bd1d1bbdbcf287f4b945,retailing and the economy,tsc,"anticipate and recognise shifts in the retail landscape, and demonstrate knowledge of the industry context within which the organisational operates in","retailing and the economy-anticipate and recognise shifts in the retail landscape, and demonstrate knowledge of the industry context within which the organisational operates in"
